images,name,corrAns,sounds,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,begin_global,begin_routine,end_global,end_routine,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,begin_book,key_resp_1.keys,key_resp_1.corr,key_resp_1.rt,date,frameRate,expName,session,participant
images\baseball01a.jpg,baseball,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,134,134,74,383.920555024,9.30111855268E-06,384.587360993,0.66681623226,,,,,z,1,0.65038860857,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\sunglasses03a.jpg,sun glasses,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,135,135,17,385.695829815,9.30100213736E-06,386.437872183,0.742052311194,,,,,z,1,0.733750940999,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\leek.jpg,donut,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,136,136,169,387.539098033,9.30100213736E-06,388.221670929,0.682582517387,,,,,x,1,0.667065116228,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\graduationcap.jpg,graduation cap,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,137,137,35,389.325059759,9.30111855268E-06,390.088834893,0.763785075862,,,,,z,1,0.750414619572,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\ladder.jpg,ladder,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,138,138,113,391.182620844,9.30111855268E-06,392.239419305,1.05680808262,,,,,z,1,1.03382480424,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\diploma01.jpg,glasses,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,139,139,179,393.370026611,8.98027792573E-06,394.289968726,0.919951737043,,,,,x,1,0.900456362055,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\swan.jpg,swan,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,140,140,54,395.382304993,8.65967012942E-06,396.5739126,1.1916175501,,,,,z,1,1.16716021171,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\lipstick04.jpg,lipstick,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,141,141,56,397.67540337,9.30111855268E-06,398.524445311,0.849051883677,,,,,z,1,0.83377663116,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\desktopcomputer.jpg,desktop computer,z,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,142,142,16,399.66013806,9.30100213736E-06,400.608338126,0.948209687253,,,,,z,1,0.933808094356,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
images\sportshorts02.jpg,tape,x,sounds\greatgatsby_english.wav,,,,,,,,,0,0,0,0,0,143,143,230,401.717608123,8.98039434105E-06,402.708914183,0.991315682069,,,,,x,1,0.967155336635,2018_Nov_13_1539,60.0026750081,spanish_cond1,1,1005
